oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
953092;Empresa 4;11/04/2022;;;04/05/2022;550;Congelada;NV - 0021549;;;UTILIDADES DOMESTICAS;;Cotação;;;;0;;Vendedor B
941576;Empresa 11;16/03/2022;;;24/03/2022;31599.6;Congelada;NV - 0020532;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Faturado;Descrição do produto Valor do produto Quantidade Valor do frete DIFAL PRAZO Valor total CNPJ de FaturamentMonitor Lg 19,5'' Led Hd - Hdmi, 2ms, Ajuste De  Inclinacao, Reader Mode, 4-;1961678718;40;Vendedor E
941562;Empresa 12;16/03/2022;;;13/04/2022;3450;Congelada;NV - 0020529;Uso e consumo;;LIVROS;;Cotação;;Faturado;;0;;Vendedor F
941563;Empresa 13;16/03/2022;;;22/09/2022;3600;Congelada;NV - 0020530;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco;2655734451;3;Vendedor E
921989;Empresa 14;24/01/2022;;;08/02/2022;20399.94;Congelada;NV - 0018242;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;"Samsung Smart Tv 58"" Uhd 4k 58au7700, Processador Crystal 4k, Tela Sem...";3069544823;6;Vendedor B
941783;Empresa 16;16/03/2022;;;24/03/2022;20042;Congelada;NV - 0020556;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Diversos;0;100;Vendedor E
950424;Empresa 20;04/04/2022;;;06/04/2022;44970;Congelada;NV - 0021308;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB ...;2969966925;30;Vendedor B
947683;Empresa 21;28/03/2022;;;19/04/2022;32000;Congelada;NV - 0021035;Uso e consumo;;TABLETS;;Cotação;;;;0;;Vendedor E
938195;Empresa 22;08/03/2022;;;15/03/2022;96000;Congelada;NV - 0020248;Uso e consumo;;PCS;;Cotação;;Boleto;"Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 5 8GB 256GB SSD Linux 15.6"" Prata";4200685104;30;Vendedor E
950432;Empresa 24;04/04/2022;;;29/04/2022;11599.96;Congelada;NV - 0021312;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;;0;;Vendedor B
964594;Empresa 4;07/06/2022;;;10/06/2022;139900;Fechada e Perdida;NV - 0023800;Uso e consumo;;TABLETS;Cliente - Não informado / sem retorno;Cotação;;;"Tablet Samsung Galaxy A8 64GB Wi-Fi 4G Tela 10.5"" Android Octa-Core - Cinza";4638018605;100;Vendedor E
947692;Empresa 4;28/03/2022;;;29/03/2022;522.49;Congelada;NV - 0021040;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Cartão 64gb Sdxc Classe 10 Uhs-i U3 Até 95mb/s Leitura E 80mb/s Gravação - Transcend;0;2;Vendedor E
947710;Empresa 29;28/03/2022;;;01/04/2022;12000;Congelada;NV - 0021044;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;;0;;Vendedor E
936617;Empresa 30;22/02/2022;;;24/03/2022;3000;Congelada;NV - 0019985;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Faturado;diversos;0;1;Vendedor F
947716;Empresa 32;28/03/2022;;;19/04/2022;3970.99;Congelada;NV - 0021045;Uso e consumo;;TELEFONIA;;Cotação;;;;1611318026;;Vendedor E
953014;Empresa 41;11/04/2022;;;04/05/2022;8750;Congelada;NV - 0021534;Uso e consumo;;ALIMENTOS;;Cotação;;;125 ovos de pascoa;0;;Vendedor B
922199;Empresa 47;24/01/2022;;;25/01/2022;626.99;Congelada;NV - 0018263;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Micro Ondas Panasonic NN-ST55LMRUN 27L Prata;3032359051;1;Vendedor E
941691;Empresa 48;16/03/2022;;;21/03/2022;17700;Congelada;NV - 0020546;Uso e consumo;;ALIMENTOS;;Cotação;;Faturado;ovos de páscoa;0;;Vendedor E
922205;Empresa 52;24/01/2022;;;31/01/2022;2995;Congelada;NV - 0018268;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto;4342102701;5;Vendedor E
953070;Empresa 55;11/04/2022;;;12/04/2022;80270;Congelada;NV - 0021543;;;AUDIO;;Cotação;;;;0;;Vendedor B
922204;Empresa 56;24/01/2022;;;31/01/2022;7261.56;Congelada;NV - 0018267;Uso e consumo;;PCS;;Cotação;;Faturado;Notebook Dell Inspiron I13-7391-A30S 10ª Intel Core I7 8GB (Geforce MX250 com 2GB) 512GB SSD W10 13,3'' Prata;1237560954;1;Vendedor E
956795;Empresa 63;22/04/2022;;;29/04/2022;6500;Congelada;NV - 0021999;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;;0;;Vendedor F
964511;Empresa 30;06/06/2022;;;09/06/2022;67410;Fechada e Perdida;NV - 0023722;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;;galaxy a32;0;50;Vendedor F
963736;Empresa 69;26/05/2022;;;29/05/2022;15558;Fechada e Perdida;NV - 0023347;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Estoque - falta de produto;Cotação;;;;0;;Vendedor F
947828;Empresa 82;28/03/2022;;;19/04/2022;500;Congelada;NV - 0021068;Uso e consumo;;ALIMENTOS;;;;;;0;;Vendedor E
947846;Empresa 85;28/03/2022;;;01/04/2022;2700;Congelada;NV - 0021071;Uso e consumo;;CONSTRUÇÃO & FERRAMENTAS - JARDIM;;Cotação;;;Banco Wanda Armação Cromada com Assento Napa Jeans - Orb + Bernardo Senna;0;15;Vendedor E
950563;Empresa 89;04/04/2022;;;29/04/2022;16000;Congelada;NV - 0021326;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;;0;;Vendedor B
936639;Empresa 90;22/02/2022;;;16/03/2022;3083.53;Congelada;NV - 0019998;Uso e consumo;;TELEFONIA;;Cotação;;;Apple AirPods com Estojo de Recarga MagSafe;4241854859;1;Vendedor E
936639;Empresa 90;22/02/2022;;;16/03/2022;2698.2;Congelada;NV - 0020577;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP;2969966917;2;Vendedor E
936644;Empresa 97;22/02/2022;;;24/03/2022;4000;Congelada;NV - 0020002;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;;;Faturado;46 unidades de impressora Térmica Não fiscal EPSON TM-T20 USB;0;46;Vendedor F
950586;Empresa 98;04/04/2022;;;12/05/2022;2143.39;Fechada e Perdida;NV - 0021332;Uso e consumo;;AUTOMOTIVO;Cliente - Estoque - perda de estoque;Cotação;;;;0;;Vendedor F
936652;Empresa 99;22/02/2022;;;15/03/2022;2000;Congelada;NV - 0020010;Uso e consumo;;UTILIDADES DOMESTICAS;;Cotação;;;Diversos;0;1;Vendedor F
936648;Empresa 100;22/02/2022;;;24/03/2022;5000;Congelada;NV - 0020006;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;;Diversos;0;1;Vendedor F
936645;Empresa 101;22/02/2022;;;15/03/2022;484.49;Congelada;NV - 0020003;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Forno micro-ondas Electrolux MTD30 20 litros 220v;0;1;Vendedor E
963395;Empresa 102;23/05/2022;;;24/05/2022;6500;Fechada e Perdida;NV - 0023187;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;BID Não Atendido 100%;Cotação;;;;0;;Vendedor E
936650;Empresa 97;22/02/2022;;;15/03/2022;2000;Congelada;NV - 0020008;Uso e consumo;;AUDIO;;Cotação;;Faturado;2 Microfone Condensador Sem Fio De Lapela Uhf Unidirecional OU Microfone lapela TSI;0;2;Vendedor E
950619;Empresa 99;04/04/2022;;;29/04/2022;3500;Congelada;NV - 0021337;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;;;0;;Vendedor B
947548;Empresa 105;28/03/2022;;;28/03/2022;5576.67;Congelada;NV - 0021019;Uso e consumo;;ALIMENTOS;;Cotação;;;Notebook Gamer Acer Nitro 5 Intel;0;;Vendedor E
938346;Empresa 99;09/03/2022;;;15/03/2022;400;Congelada;NV - 0020273;Uso e consumo;;UTILIDADES DOMESTICAS;;Cotação;;Faturado;cafeteira;0;1;Vendedor E
950636;Empresa 108;04/04/2022;;;28/04/2022;300;Congelada;NV - 0021339;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;;0;;Vendedor F
977231;Empresa 113;26/10/2022;;;26/10/2022;2100;Cotando;NV - 0028748;Uso e consumo;Caixa Off;UTILIDADES DOMESTICAS;;Cotação;;Boleto;;0;;Vendedor J
929588;Empresa 115;07/02/2022;;;14/02/2022;11757.27;Congelada;NV - 0019095;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;;;;Notebook Dell Inspiron I15-3501-A46P Intel Core I5;3716186496;3;Vendedor E
922566;Empresa 118;25/01/2022;;;08/02/2022;15760.71;Congelada;NV - 0018294;Uso e consumo;;TELEFONIA;;Cotação;;;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Azul;3591024468;3;Vendedor B
957277;Empresa 119;25/04/2022;;;05/05/2022;4500;Congelada;NV - 0022010;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;;;0;;Vendedor E
922565;Empresa 120;25/01/2022;;;01/02/2022;2564.99;Congelada;NV - 0018293;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Faturado;"Smart TV LG 50"" 4K UHD 50UP751C";4350753686;1;Vendedor E
938234;Empresa 124;08/03/2022;;;29/03/2022;2000;Congelada;NV - 0020260;Uso e consumo;;AUDIO;;Cotação;;;Diversos;0;1;Vendedor K
938251;Empresa 128;08/03/2022;;;21/03/2022;100000;Congelada;NV - 0020262;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;;0;;Vendedor F
936626;Empresa 129;22/02/2022;;;28/03/2022;500;Congelada;NV - 0019991;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Faturado;FONE;0;1;Vendedor F
936628;Empresa 132;22/02/2022;;;21/03/2022;869;Congelada;NV - 0019993;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Faturado;Forno micro-ondas Electrolux MTD30 20 litros 220v;119757799;8;Vendedor E
938258;Empresa 133;08/03/2022;;;23/03/2022;15000;Congelada;NV - 0020263;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;;0;;Vendedor F
953272;Empresa 134;11/04/2022;;;05/05/2022;2500;Congelada;NV - 0021577;;;ELETRODOMESTICOS;;Cotação;;;;0;;Vendedor B
953277;Empresa 142;11/04/2022;;;05/05/2022;1600;Congelada;NV - 0021578;;;ALIMENTOS;;Cotação;;;34 OVOS DE PÁSCOA - 4830464963;0;;Vendedor B
936634;Empresa 143;22/02/2022;;;28/03/2022;8000;Congelada;NV - 0019996;Uso e consumo;;TELEFONIA;;Cotação;;;5 aparelhos Samsung Galaxy S20FE.;0;5;Vendedor F
966268;Empresa 99;01/07/2022;;;05/07/2022;550;Fechada e Perdida;NV - 0024791;Uso e consumo;;ELETRODOMESTICOS;Cliente - Prazo de envio;Cotação;;Faturado;Forno micro-ondas Electrolux MTO30 Branco 20L -;2399170449;1;Vendedor E
964509;Empresa 4;06/06/2022;;;10/06/2022;341.99;Fechada e Perdida;NV - 0023719;Uso e consumo;;MÓVEIS - ESCRITÓRIO;Outros;Cotação;;Faturado;Cadeira de escritório giratória preta - Basic+;633434351;1;Vendedor E
963957;Empresa 163;30/05/2022;;;10/06/2022;5500;Fechada e Perdida;NV - 0023450;Uso e consumo;;TABLETS;Cliente - Não informado / sem retorno;Cotação;;;;0;;Vendedor E
947782;Empresa 166;28/03/2022;;;19/04/2022;6000;Congelada;NV - 0021057;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;;0;;Vendedor E
967361;Empresa 69;14/07/2022;;;14/07/2022;1259.1;Cotando;NV - 0025248;;;TELEFONIA;;Cotação;;Faturado;"•	Smartphone Samsung Galaxy A13 128GB";0;;Vendedor K
921325;Empresa 179;21/01/2022;;;31/01/2022;513.2;Congelada;NV - 0019449;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Faturado;Fragmentadora Trituradora Papel 110/220 Aurora 10 Folhas As1060sb;31865025;1;Vendedor F
921313;Empresa 179;21/01/2022;;;11/02/2022;3333.9;Congelada;NV - 0019445;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Frigobar Suggar 88 Litros 85W Inox;86120412;1;Vendedor F
963964;Empresa 4;30/05/2022;;;08/06/2022;950;Fechada e Perdida;NV - 0023460;Uso e consumo;;MÓVEIS - ESCRITÓRIO;B2W - Crivo de valor / volume;Cotação;;Faturado;;0;;Vendedor F
964375;Empresa 4;03/06/2022;;;06/06/2022;1500;Fechada e Perdida;NV - 0023650;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;;0;;Vendedor E
937555;Empresa 184;07/03/2022;;;28/03/2022;10000;Congelada;NV - 0020228;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Faturado;;0;;Vendedor F
964601;Empresa 4;07/06/2022;;;10/06/2022;3500;Fechada e Perdida;NV - 0023803;Uso e consumo;;ELETRODOMESTICOS;B2W - Limite de Crédito;Cotação;;;Geladeira/Refrigerador Electrolux Duplex DFN41 Frost Free 371L Branca - 220V;1808805784;2;Vendedor E
949569;Empresa 197;01/04/2022;;;12/04/2022;350000;Congelada;NV - 0021256;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;;;0;;Vendedor B
960950;Empresa 199;04/05/2022;;;04/05/2022;2300;Congelada;NV - 0022455;;;MÓVEIS - COZINHA, LAVANDERIA, BANHEIRO E ÁREA EXTERNA;;Cotação;;;;0;;Vendedor E
921152;Empresa 200;21/01/2022;;;24/01/2022;21871.55;Congelada;NV - 0018193;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Acer Aspire 5 Intel Core I7-10510U 8GB 512GB SSD Linux Endles...;4202016422;5;Vendedor E
964599;Empresa 4;07/06/2022;;;08/06/2022;250;Fechada e Perdida;NV - 0023801;Uso e consumo;;CONSTRUÇÃO & FERRAMENTAS - ILUMINAÇÃO;B2W - Crivo de valor / volume;Cotação;;;;123441877;;Vendedor F
952350;Empresa 203;08/04/2022;;;04/05/2022;6000;Congelada;NV - 0021499;Uso e consumo;;PCS;;Cotação;;;;0;;Vendedor B
946644;Empresa 205;25/03/2022;;;10/05/2022;5649.1;Fechada e Perdida;NV - 0020976;Uso e consumo;;TELEFONIA;B2W - Estoque (Falta de produto);Cotação;;;Apple iPhone 13 128GB;3919413812;;Vendedor G
921198;Empresa 206;21/01/2022;;;28/01/2022;12495;Congelada;NV - 0018199;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6...;3234384027;5;Vendedor B
921196;Empresa 207;21/01/2022;;;31/01/2022;6149;Congelada;NV - 0019444;Uso e consumo;;"INFORMÁTICA E ACESSÓRIOS; PCS";;Cotação;;Faturado;Kit Computador Desktop Dell Vostro 3681-M30M 10ª Geração Intel Core i5 8GB 256SSD Windows 11 + Monitor 23.8;2261526502;1;Vendedor F
963749;Empresa 213;26/05/2022;;;08/06/2022;4500;Fechada e Perdida;NV - 0023350;Uso e consumo;;ELETRONICOS (TVs);Cliente - Prazo de envio;Cotação;;;;0;;Vendedor E
928762;Empresa 166;04/02/2022;;;16/03/2022;1125.4;Congelada;NV - 0019066;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Faturado;Multifuncional Epson Ecotank L3250 Wi-Fi - Tanque de Tinta;3831314123;1;Vendedor F
928762;Empresa 166;04/02/2022;;;16/03/2022;734.05;Congelada;NV - 0019069;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Faturado;Mesa Digitalizadora Wacom Intuos Creative CTL4100WLK0 Pen Tablet Bluetooth Small Black;133787257;1;Vendedor F
928762;Empresa 166;04/02/2022;;;16/03/2022;1965.85;Congelada;NV - 0019067;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Faturado;Mesa Digitalizadora Wacom PTH460K0A Intuos Pro Pequena;3646202066;1;Vendedor F
928363;Empresa 4;04/02/2022;;;14/02/2022;474.04;Congelada;NV - 0019014;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Forno micro-ondas Electrolux MTD30 20 litros 110v;119757801;1;Vendedor E
928788;Empresa 224;04/02/2022;;;14/02/2022;16485;Congelada;NV - 0019074;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy M12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB R...;3163815888;15;Vendedor B
956634;Empresa 228;22/04/2022;;;02/05/2022;4000;Congelada;NV - 0021992;Uso e consumo;;TELEFONIA;;Cotação;;;;0;;Vendedor E
949671;Empresa 230;01/04/2022;;;05/04/2022;43604.9;Congelada;NV - 0021274;Uso e consumo;;TELEFONIA;;Cotação;;;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Azul;3591024468;10;Vendedor B
956635;Empresa 233;22/04/2022;;;09/05/2022;3500;Fechada e Perdida;NV - 0021993;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;;;0;;Vendedor E
953480;Empresa 234;12/04/2022;;;12/05/2022;17200;Fechada e Perdida;NV - 0021601;;;PCS;B2W - Estoque (Falta de produto);Cotação;;;;0;;Vendedor E
949689;Empresa 235;01/04/2022;;;29/04/2022;1050;Fechada e Perdida;NV - 0021280;Uso e consumo;;ALIMENTOS;;Cotação;;;15 ovos de pascoa;0;;Vendedor B
928878;Empresa 236;04/02/2022;;;10/02/2022;17159.94;Congelada;NV - 0019083;Uso e consumo;;PCS;;Cotação;;Cartão de Crédito;Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB...;4621635922;6;Vendedor E
949687;Empresa 238;01/04/2022;;;25/04/2022;30000;Congelada;NV - 0021279;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;;0;;Vendedor B
949714;Empresa 243;01/04/2022;;;05/04/2022;0;Congelada;NV - 0021287;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;"HD SSD WD Western Digital 480GB SATA 6Gb/s 2.5"" - WDS480G2G0";63705270;54;Vendedor B
937272;Empresa 99;07/03/2022;;;15/03/2022;2500;Congelada;NV - 0020206;Uso e consumo;;CLIMATIZAÇÃO;;;;Faturado;ar condicionado;0;1;Vendedor F
949541;Empresa 108;01/04/2022;;;04/04/2022;350;Congelada;NV - 0021249;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;;;0;;Vendedor F
937322;Empresa 99;07/03/2022;;;22/03/2022;1000;Congelada;NV - 0020212;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;;0;;Vendedor E
937314;Empresa 254;07/03/2022;;;22/03/2022;3000;Congelada;NV - 0020210;Uso e consumo;;TELEFONIA;;Cotação;;;Telefone;0;1;Vendedor E
928368;Empresa 255;04/02/2022;;;14/02/2022;33558;Congelada;NV - 0019018;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip ...;4342102701;42;Vendedor B
928356;Empresa 256;04/02/2022;;;14/02/2022;29420.89;Congelada;NV - 0019011;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;"Smart TV 50"" UHD Samsung 4k 50AU7700 Processador Crystal 4k Tela Sem L...";3069506190;10;Vendedor B
937334;Empresa 4;07/03/2022;;;21/03/2022;2562.2;Congelada;NV - 0020213;Uso e consumo;;TABLETS;;Cotação;;Faturado;Tablet Samsung Galaxy A7 Lite Wifi 32GB 3GB RAM SM-T220NZAPZTO;3420573008;3;Vendedor E
964048;Empresa 129;31/05/2022;;;09/06/2022;29500;Fechada e Perdida;NV - 0023526;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;B2W - Estoque (Falta de produto);Cotação;;;desktop mini;0;7;Vendedor F
937353;Empresa 99;07/03/2022;;;15/03/2022;3700;Congelada;NV - 0020219;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;;0;;Vendedor F
937388;Empresa 99;07/03/2022;;;21/03/2022;207;Congelada;NV - 0020223;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Faturado;Cafeteira Digital Oster Ocaf500 800W Day Light Aço Inox Preta - 220v;134269769;1;Vendedor E
930400;Empresa 129;08/02/2022;;;09/02/2022;28497;Congelada;NV - 0019173;Uso e consumo;;AUDIO;;Cotação;;Faturado;Headset Gamer Warrior Harve P2 Stereo Preto/verde - Ph298;3229859649;300;Vendedor F
930399;Empresa 274;08/02/2022;;;15/02/2022;;Congelada;NV - 0019172;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;;Frigobar Consul 76L;119934652;1;Vendedor E
963984;Empresa 276;30/05/2022;;;10/06/2022;4500;Fechada e Perdida;NV - 0023479;Uso e consumo;;ELETRONICOS (TVs);Cliente - Prazo de envio;Cotação;;;"Smart TV 42"" Philco Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";3280822551;3;Vendedor E
927278;Empresa 279;02/02/2022;;08/02/2022;22/02/2022;44426.4;Projeto em andamento;NV - 0018868;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Lenovo Ideapad 3i Intel Celeron-N4020 4GB 128GB SSD Tela 15,6...;4199005932;20;Vendedor B
927285;Empresa 280;02/02/2022;;;08/02/2022;10068.1;Congelada;NV - 0018869;Uso e consumo;;PCS;;Cotação;;;Notebook Acer Aspire 5 A514-54G-71QA Intel Core i7 11ª Gen Windows 10 ...;3714252824;2;Vendedor B
981036;Empresa 281;13/12/2022;;;28/12/2022;18600;Fechada e Perdida;NV - 0030550;Uso e consumo;Caixa Off;ELETRODOMESTICOS;Cliente - Não informado / sem retorno;Cotação;;Cartão de Crédito;;0;;Vendedor L
963534;Empresa 283;25/05/2022;;;27/05/2022;15000;Fechada e Perdida;NV - 0023272;Uso e consumo;;LIVROS;B2W - Estoque (Falta de produto);Cotação;;;;0;;Vendedor E
930770;Empresa 286;08/02/2022;;;15/02/2022;499.99;Congelada;NV - 0019244;Uso e consumo;;;;;;;Câmera De Ação Xtrax Selfie;1345611309;1;Vendedor E
927332;Empresa 287;02/02/2022;;;08/02/2022;11504.64;Congelada;NV - 0018877;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;Ar Condicionado Split Inverter Philco 9000 BTUs PAC9000ITFM9W Frio - 2...;2189095031;8;Vendedor B
927332;Empresa 287;02/02/2022;;;08/02/2022;17999.9;Congelada;NV - 0018978;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;Ar Condicionado Split Inverter Philco 9000 BTUs PAC9000ITFM9W - 220v;2189095031;10;Vendedor B
936723;Empresa 289;24/02/2022;;;15/03/2022;35000;Congelada;NV - 0020039;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Faturado;"36 TV Led 32""""";0;38;Vendedor F
972609;Empresa 290;01/09/2022;;08/09/2022;05/01/2023;650;Fechada e Ganha;NV - 0026978;Uso e consumo;Caixa Off;ELETRODOMESTICOS;;Catálogo;Nimbi;Faturado;4547757939 - MICRO-ONDAS PHILCO PMO23BB 20 LITROS MULTIFUNÇÕES LIMPA FÁCIL - VOLTAGEM 220V 317128;0;;Vendedor F
927060;Empresa 293;02/02/2022;;08/02/2022;22/02/2022;11100;Projeto em andamento;NV - 0018840;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;SSD Kingston A400 240GB - 500mb/s para Leitura e 350mb/s para Gravação...;133764426;50;Vendedor B
927348;Empresa 294;02/02/2022;;;08/02/2022;12006.8;Congelada;NV - 0018882;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB R...;2655733715;10;Vendedor B
923735;Empresa 297;26/01/2022;;08/02/2022;22/02/2022;33799;Projeto em andamento;NV - 0018458;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Acer A315-56-569F, Intel Core i5, 4GB 256GB, 15.6, Endless Os...;2643336780;10;Vendedor B
930498;Empresa 299;08/02/2022;;;09/02/2022;4331.62;Congelada;NV - 0019190;Uso e consumo;;UTILIDADES DOMESTICAS;;Cotação;;Faturado;Lixeira Aço Inox com Pedal 5 Litros - Tramontina;120347682;38;Vendedor F
930498;Empresa 299;08/02/2022;;;09/02/2022;2099.37;Congelada;NV - 0019192;Uso e consumo;;UTILIDADES DOMESTICAS;;Cotação;;Faturado;Lixeira Aço Inox com Pedal 12 Litros - Tramontina;120347703;13;Vendedor F
930498;Empresa 299;08/02/2022;;;09/02/2022;769.47;Congelada;NV - 0019193;Uso e consumo;;UTILIDADES DOMESTICAS;;Cotação;;Faturado;Lixeira com Pedal Inox 30L - Casual Home;3251464889;3;Vendedor F
927374;Empresa 301;02/02/2022;;;08/02/2022;9080.28;Congelada;NV - 0018883;Uso e consumo;;"AUDIO; ELETRONICOS (TVs); ESPORTE & LAZER; PCS; TELEFONIA; WEARABLE";;Cotação;;Faturado;Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho;2831155118;6;Vendedor E
927374;Empresa 301;02/02/2022;;;08/02/2022;5699.4;Congelada;NV - 0018886;Uso e consumo;;"AUDIO; ELETRONICOS (TVs); ESPORTE & LAZER; PCS; TELEFONIA; WEARABLE";;Cotação;;Faturado;Bicicleta Caloi Velox V-brake Aro 29;1683269841;6;Vendedor E
927374;Empresa 301;02/02/2022;;;08/02/2022;4314.6;Congelada;NV - 0018889;Uso e consumo;;"AUDIO; ELETRONICOS (TVs); ESPORTE & LAZER; PCS; TELEFONIA; WEARABLE";;Cotação;;Faturado;Smartphone Motorola Moto E6s 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Titanium;2950123792;6;Vendedor E
927374;Empresa 301;02/02/2022;;;08/02/2022;14249.4;Congelada;NV - 0018890;Uso e consumo;;"AUDIO; ELETRONICOS (TVs); ESPORTE & LAZER; PCS; TELEFONIA; WEARABLE";;Cotação;;Faturado;Caixa de Som Bluetooth JBL GO3 Preta 4,2W com Classificação IP67 e até 5h de Bateria;2621095612;60;Vendedor E
927374;Empresa 301;02/02/2022;;;08/02/2022;11399.4;Congelada;NV - 0018891;Uso e consumo;;"AUDIO; ELETRONICOS (TVs); ESPORTE & LAZER; PCS; TELEFONIA; WEARABLE";;Cotação;;Faturado;Fone de Ouvido Bluetooth Philips TAT1235 com Microfone à Prova d'água e suor PIX5 Energia para 18 horas totais;2933926753;60;Vendedor E
927374;Empresa 301;02/02/2022;;;08/02/2022;3989.4;Congelada;NV - 0018893;Uso e consumo;;"AUDIO; ELETRONICOS (TVs); ESPORTE & LAZER; PCS; TELEFONIA; WEARABLE";;Cotação;;Faturado;Mochila Esportiva Preto - Basic+;1371270051;60;Vendedor E
