Oportunidade;Empresa;Data_criacao;Data_envio_proposta;Data_fechada;Data_última_modificação;Valor;Fase_Comercial;Nova_Venda;Finalidade;Origem;Departamento;Motivo_perdido;Tipo_venda;ERP;Pagamento;Produto;SKU;Quantidade;Vendedor
874142;EMPRESA 1;19/10/2021;;19/10/2021;19/10/2021;1975,84;Projeto em andamento;NV - 0013762;Revenda;;AUDIO;;Cotação;;Cartão de Crédito;Fone de Ouvido Philco PFO01BTG Bluetooth com até 10 horas de bateria - Bege;1432382049;16;VENDEDOR A
874142;EMPRESA 1;19/10/2021;;19/10/2021;19/10/2021;1082,94;Projeto em andamento;NV - 0013764;Revenda;;AUDIO;;Cotação;;Cartão de Crédito;Fone de Ouvido Bluetooth Philips TAT1235 com Microfone à Prova d'água e suor PIX5 Energia para 18 horas totais - Preto;2933926753;6;VENDEDOR A
865778;EMPRESA 2;24/09/2021;;28/09/2021;29/09/2021;12509,91;Projeto em andamento;NV - 0013049;Revenda;;ELETRONICOS (TVs);;Cotação;;Cartão de Crédito;Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta;1618074634;9;VENDEDOR B
874143;EMPRESA 3;19/10/2021;;;20/10/2021;13299,93;Congelada;NV - 0013763;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Boleto;Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast;2680750728;7;VENDEDOR A
953092;EMPRESA 4;11/04/2022;;;04/05/2022;550;Congelada;NV - 0021549;;;UTILIDADES DOMESTICAS;;Cotação;;;;0;;VENDEDOR B
857726;EMPRESA 5;25/08/2021;;;13/09/2021;16709,55;Congelada;NV - 0012193;Uso e consumo;;TABLETS;;Cotação;;Boleto;"Tablet Samsung Galaxy A7 64GB Wi-Fi Tela 10.4"" Octa-Core 2.0GHz - Grafite";2098828294;11;VENDEDOR B
839221;EMPRESA 6;05/07/2021;;;27/07/2021;24625,36;Congelada;NV - 0010823;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Quant. 2 | Cód. 2534443914 | MacBook Pro 13"" Apple M1 (8GB 256GB SSD) Prateado";;2;VENDEDOR B
823706;EMPRESA 7;21/05/2021;;;27/05/2021;11198;Congelada;NV - 0009977;;;MÓVEIS - SALA DE ESTAR, SALA DE JANTAR E BAR;;Cotação;;Boleto;Quant. 5 | Cód. 1217447031 | Kit 8 Poltronas para Consultório Sala de Recepção sala de Espera courino - preto;;5;VENDEDOR C
857708;EMPRESA 8;25/08/2021;;19/08/2021;09/09/2021;1399,86;Projeto em andamento;NV - 0012190;;;BELEZA & SAUDE;;Cotação;;Boleto;Aparador De Pelos Multigroom com 6 Acessórios MG3712 - Philips;132627411;14;VENDEDOR A
857708;EMPRESA 8;25/08/2021;;19/08/2021;09/09/2021;997,4;Projeto em andamento;NV - 0012191;;;BELEZA & SAUDE;;Cotação;;Boleto;Torradeira Btr01p;217677979;8;VENDEDOR A
828131;EMPRESA 9;04/06/2021;;;09/06/2021;41988;Congelada;NV - 0010166;;;TELEFONIA;;Cotação;;Boleto;Quant. 12 | cód.  3096539472 | Smartphone Moto G100 256GB 5G Wi-Fi Tela 6.7'' Dual Chip 12GB RAM Câmera Tripla + Selfie 16MP + 8MP com USB-C HDMI - Luminous Sky;;12;VENDEDOR D
828131;EMPRESA 9;04/06/2021;;;09/06/2021;29188;Congelada;NV - 0010167;;;TELEFONIA;;Cotação;;Boleto;"Quant. 4 | cód. 2290964704 | iPhone 12 Apple (128GB) Preto Tela 6,1"" 5G Câmera 12MP + 12MP iOS";;4;VENDEDOR D
834098;EMPRESA 10;21/06/2021;;;20/07/2021;65053,5;Congelada;NV - 0010536;;;TELEFONIA;;Cotação;;Boleto;Quant. 50 | Cód. 2098826715 | Smartphone Samsung Galaxy Xcover Pro 64GB 4G Wi-Fi Tela 6.3'' 4G;;50;VENDEDOR D
941576;EMPRESA 11;16/03/2022;;;24/03/2022;31599,6;Congelada;NV - 0020532;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Faturado;Descrição do produto Valor do produto Quantidade Valor do frete DIFAL PRAZO Valor total CNPJ de FaturamentMonitor Lg 19,5'' Led Hd - Hdmi, 2ms, Ajuste De  Inclinacao, Reader Mode, 4-;1961678718;40;VENDEDOR E
941562;EMPRESA 12;16/03/2022;;;13/04/2022;3450;Congelada;NV - 0020529;Uso e consumo;;LIVROS;;Cotação;;Faturado;;0;;VENDEDOR F
941563;EMPRESA 13;16/03/2022;;;22/09/2022;3600;Congelada;NV - 0020530;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco;2655734451;3;VENDEDOR E
921989;EMPRESA 14;24/01/2022;;;08/02/2022;20399,94;Congelada;NV - 0018242;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;"Samsung Smart Tv 58"" Uhd 4k 58au7700, Processador Crystal 4k, Tela Sem...";3069544823;6;VENDEDOR B
857697;EMPRESA 15;25/08/2021;;12/08/2021;25/08/2021;1436,55;Projeto em andamento;NV - 0012188;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;REFLETOR LED 200W BRANCO FRIO BIVOLT HOLOFOTE A PROVA DAGUA;49643840;11;VENDEDOR A
941783;EMPRESA 16;16/03/2022;;;24/03/2022;20042;Congelada;NV - 0020556;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Diversos;0;100;VENDEDOR E
828081;EMPRESA 17;04/06/2021;;;20/07/2021;1718,88;Congelada;NV - 0010164;;;BELEZA & SAUDE;;Cotação;;Boleto;Quant. 12 | cód. 133670921 | Escova Secadora Magic Air Ion Es-01 - 127v - Mondial;;12;VENDEDOR A
857713;EMPRESA 18;25/08/2021;;19/08/2021;25/08/2021;10813,19;Projeto em andamento;NV - 0012194;;;CLIMATIZAÇÃO;;Cotação;;Boleto;AR-CONDICIONADO SPLIT INVERTER DAIKIN ADVANCE 18.000 BTUS SO FRIO 220V;14388440;4;VENDEDOR B
854927;EMPRESA 19;17/08/2021;;23/08/2021;03/11/2021;34989,9;Projeto em andamento;NV - 0011911;;;ELETRODOMESTICOS;;Cotação;;Boleto;Lava e Seca Samsung 3 em 1 WD4000 com Lavagem a Seco WD11M44733W Branca 11/7 kg;1489360545;10;VENDEDOR D
950424;EMPRESA 20;04/04/2022;;;06/04/2022;44970;Congelada;NV - 0021308;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB ...;2969966925;30;VENDEDOR B
947683;EMPRESA 21;28/03/2022;;;19/04/2022;32000;Congelada;NV - 0021035;Uso e consumo;;TABLETS;;Cotação;;;;0;;VENDEDOR E
938195;EMPRESA 22;08/03/2022;;;15/03/2022;96000;Congelada;NV - 0020248;Uso e consumo;;PCS;;Cotação;;Boleto;"Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 5 8GB 256GB SSD Linux 15.6"" Prata";4200685104;30;VENDEDOR E
846478;EMPRESA 23;23/07/2021;;;13/02/2023;22958,1;Congelada;NV - 0011249;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Produto: 3081358118 | Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;;6;VENDEDOR B
950432;EMPRESA 24;04/04/2022;;;29/04/2022;11599,96;Congelada;NV - 0021312;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;;0;;VENDEDOR B
820208;EMPRESA 25;12/05/2021;;;25/05/2021;22995;Congelada;NV - 0009890;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"5 unidades do produto 338854847 (  iPhone 11 Apple (64GB) Preto tela 6,1"" Câmera 12MP iOS)";338854847;5;VENDEDOR B
865746;EMPRESA 26;24/09/2021;;;22/10/2021;0;Congelada;NV - 0013044;Revenda;;PCS;;Cotação;;;Notebook Positivo Motion Q4128C Intel Atom-Z8350 4GB 128GB W10 14,1'' Dourado;3327921135;6;VENDEDOR B
865746;EMPRESA 26;24/09/2021;;;22/10/2021;10430,52;Congelada;NV - 0013045;Revenda;;PCS;;Cotação;;;"Notebook Ultra UB320 Intel Pentium-J3710 4GB 120GB W10 14"" - Preto";3240384461;6;VENDEDOR B
865746;EMPRESA 26;24/09/2021;;;22/10/2021;0;Congelada;NV - 0013047;Revenda;;PCS;;Cotação;;;Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;3252219121;6;VENDEDOR B
964594;EMPRESA 4;07/06/2022;;;10/06/2022;139900;Fechada e Perdida;NV - 0023800;Uso e consumo;;TABLETS;Cliente - Não informado / sem retorno;Cotação;;;"Tablet Samsung Galaxy A8 64GB Wi-Fi 4G Tela 10.5"" Android Octa-Core - Cinza";4638018605;100;VENDEDOR E
846483;EMPRESA 27;23/07/2021;;;17/08/2021;19995;Congelada;NV - 0011250;;;ELETROPORTÁTEIS;;Cotação;;;Produto: 1395875222 | Cafeteira Nescafe Dolce Gusto Mini Me Branca Automática (110v);1395875222;50;VENDEDOR B
846483;EMPRESA 27;23/07/2021;;;17/08/2021;8398;Congelada;NV - 0011251;;;ELETROPORTÁTEIS;;Cotação;;;Produto: 1395875134 | Cafeteira Nescafe Dolce Gusto Mini Me Branca Automática (220v);1395875134;20;VENDEDOR B
828044;EMPRESA 28;04/06/2021;;;11/06/2021;1339274,4;Congelada;NV - 0010163;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Quant. 120 | cód. 2520060200 | MacBook Air 13"" M1 (8GB 512GB SSD) Cinza-Espacial";;120;VENDEDOR D
947692;EMPRESA 4;28/03/2022;;;29/03/2022;522,49;Congelada;NV - 0021040;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Cartão 64gb Sdxc Classe 10 Uhs-i U3 Até 95mb/s Leitura E 80mb/s Gravação - Transcend;0;2;VENDEDOR E
947710;EMPRESA 29;28/03/2022;;;01/04/2022;12000;Congelada;NV - 0021044;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;;0;;VENDEDOR E
936617;EMPRESA 30;22/02/2022;;;24/03/2022;3000;Congelada;NV - 0019985;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Faturado;diversos;0;1;VENDEDOR F
857659;EMPRESA 31;25/08/2021;;10/08/2021;25/08/2021;480,69;Projeto em andamento;NV - 0012182;;;BELEZA & SAUDE;;Cotação;;Boleto;SHAMPOO JOHNSONS BABY REGULAR 400ML;6911603;30;VENDEDOR C
947716;EMPRESA 32;28/03/2022;;;19/04/2022;3970,99;Congelada;NV - 0021045;Uso e consumo;;TELEFONIA;;Cotação;;;;1611318026;;VENDEDOR E
857899;EMPRESA 33;26/08/2021;;18/08/2021;26/08/2021;1051,35;Projeto em andamento;NV - 0012206;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Cartão de Crédito;BATERIA LG K4 2017 X230 / K9 X210 / K8 2017 X240;98793694;15;VENDEDOR A
873952;EMPRESA 34;19/10/2021;;19/10/2021;19/10/2021;22000;Projeto em andamento;NV - 0013743;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Cartão de Crédito;"Smart TV Roku 50"" Philco Led UHD 4K PTV50RCG70BL Wi-Fi 4 HDMI 2 USB e Midiacast";2638610385;10;VENDEDOR A
857902;EMPRESA 35;26/08/2021;;17/08/2021;26/08/2021;5090,99;Projeto em andamento;NV - 0012207;;;MÓVEIS - ESCRITÓRIO;;Cotação;;Transferência à vista;Cadeira de Escritório Giratória Preta - Office Basics;633434360;20;VENDEDOR B
857902;EMPRESA 35;26/08/2021;;17/08/2021;26/08/2021;829,3;Projeto em andamento;NV - 0012208;;;MÓVEIS - ESCRITÓRIO;;Cotação;;Transferência à vista;ESTUFA PARA SALGADOS 8 BANDEJAS DUPLAS VIDRO RETO PRETO EDANCA - 127V;2881280099;1;VENDEDOR B
873964;EMPRESA 36;19/10/2021;;;25/10/2021;12598,8;Congelada;NV - 0013999;Uso e consumo;;CONSTRUÇÃO & FERRAMENTAS - CONSTRUÇÃO;;Cotação;;;Vaso Sanitário Completo com Caixa Acoplada Bacia Privada Banheiro - Tubrax;4085751398;12;VENDEDOR A
847070;EMPRESA 37;26/07/2021;;;17/08/2021;96577;Congelada;NV - 0011309;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Produto: 2866312152 | Notebook 2 em 1 Dell Inspiron 5406-M10S 14"" Touch 11ª Geração Intel Core i3 4GB 128GB SSD Windows 10 McAfee";2866312152;23;VENDEDOR B
873970;EMPRESA 38;19/10/2021;;;27/10/2021;19980;Congelada;NV - 0013746;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A03s 64GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 5MP - Preto;3687308588;20;VENDEDOR A
857895;EMPRESA 19;26/08/2021;;;15/09/2021;17933,1;Congelada;NV - 0012203;;;ELETRODOMESTICOS;;Cotação;;Boleto;Máquina de Lavar Consul 12kg CWH12 Dosagem Extra Econômica e Ciclo Edredom;134220210;10;VENDEDOR D
857895;EMPRESA 19;26/08/2021;;;15/09/2021;20719;Congelada;NV - 0012277;;;ELETRODOMESTICOS;;Cotação;;Boleto;Lavadora Electrolux LAC16 16 Kg Branca;132728722;10;VENDEDOR D
857903;EMPRESA 39;26/08/2021;;18/08/2021;26/08/2021;8976,24;Projeto em andamento;NV - 0012209;;;TELEFONIA;;Cotação;;Cartão de Crédito;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Preto;2655733715;9;VENDEDOR B
857903;EMPRESA 39;26/08/2021;;18/08/2021;26/08/2021;200,43;Projeto em andamento;NV - 0012210;;;TELEFONIA;;Cotação;;Cartão de Crédito;CAPA ANTI IMPACTO SAMSUNG GALAXY A12 * PELICULA DE VIDRO 3D;2917860803;9;VENDEDOR B
857896;EMPRESA 27;26/08/2021;;;13/09/2021;11499,75;Congelada;NV - 0012204;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;;Nescafé Dolce Gusto Genio S Basic Branca - Dgs1;2048416742;25;VENDEDOR B
857896;EMPRESA 27;26/08/2021;;;13/09/2021;10497,5;Congelada;NV - 0012205;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;;Cafeteira Expresso Arno Dolce Gusto Mini Me Preta e Vermelha - 15 Bar;130321208;25;VENDEDOR B
873971;EMPRESA 40;19/10/2021;;;25/10/2021;13189;Congelada;NV - 0013747;Uso e consumo;;UTILIDADES DOMESTICAS;;Cotação;;;Copo Mixer Mini Portátil Compacto Para Vitaminas Shakes Azul;4034846848;110;VENDEDOR A
953014;EMPRESA 41;11/04/2022;;;04/05/2022;8750;Congelada;NV - 0021534;Uso e consumo;;ALIMENTOS;;Cotação;;;125 ovos de pascoa;0;;VENDEDOR B
841357;EMPRESA 42;12/07/2021;;;04/08/2021;21149,91;Congelada;NV - 0010979;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;Cód.3081358732 | Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;;9;VENDEDOR B
841357;EMPRESA 42;12/07/2021;;;04/08/2021;20826,18;Congelada;NV - 0010980;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Cód.3171323082 | Notebook Lenovo Ultrafino Ideapad 3i Intel Celeron-N4020 4GB 128GB SSD W10 15.6"" Prata";;9;VENDEDOR B
857929;EMPRESA 43;26/08/2021;;16/08/2021;26/08/2021;534,24;Projeto em andamento;NV - 0012216;;;BELEZA & SAUDE;;Cotação;;Boleto;LENCOL TERMICO CAMA SOLTEIRO ELETRICO LUXO ALGODAO INVERNO 127 VOLTS;80190566;2;VENDEDOR A
857929;EMPRESA 43;26/08/2021;;16/08/2021;26/08/2021;990;Projeto em andamento;NV - 0012217;;;BELEZA & SAUDE;;Cotação;;Boleto;LUVA NITRILICA TAMANHO G CARTUCHO COM 100;29700636;10;VENDEDOR A
873984;EMPRESA 44;19/10/2021;;25/10/2021;25/10/2021;1199,02;Projeto em andamento;NV - 0014042;Revenda;;ELETRODOMESTICOS;;Cotação;;Boleto;Máquina de Lavar Consul 9Kg CWB09 Branca com Ciclo Edredom Dual Dispenser Dosagem Extra Econômica - 220v;134187202;1;VENDEDOR A
873984;EMPRESA 44;19/10/2021;;25/10/2021;25/10/2021;1608,83;Projeto em andamento;NV - 0014043;Revenda;;ELETRODOMESTICOS;;Cotação;;Boleto;Máquina de Lavar Consul 12Kg CWH12 com Ciclo Edredom Dual Dispenser Dosagem Extra Econômica - 220v;134220210;1;VENDEDOR A
873984;EMPRESA 44;19/10/2021;;25/10/2021;25/10/2021;1814,73;Projeto em andamento;NV - 0014046;Revenda;;ELETRODOMESTICOS;;Cotação;;Boleto;"Smart Tv Philips 43"" Full Hd Sem Bordas Hdr Plus Wifi Conversor Digital Netflix Youtube Globoplay e Prime Video";2815303811;1;VENDEDOR A
873984;EMPRESA 44;19/10/2021;;25/10/2021;25/10/2021;1884,63;Projeto em andamento;NV - 0014044;Revenda;;ELETRODOMESTICOS;;Cotação;;Boleto;Máquina de Lavar Consul 16Kg CWL16 Branca com Ciclo Edredom Dispenser Limpa Fácil Dosagem Fácil - 220v;126430698;1;VENDEDOR A
873984;EMPRESA 44;19/10/2021;;25/10/2021;25/10/2021;2268,41;Projeto em andamento;NV - 0014045;Revenda;;ELETRODOMESTICOS;;Cotação;;Boleto;"Smart TV Philips 50"" UHD 4K 50PUG7625 Wi-Fi HDR10+ Dolby Vision e Dolby Atmos com Bluetooth Bordas Ultrafinas";2742387283;1;VENDEDOR A
910132;EMPRESA 45;29/12/2021;;;03/01/2022;9944,97;Congelada;NV - 0017113;Uso e consumo;;PCS;;Cotação;;Boleto;All in One 24 Full HD Intel Core i3 4GB HD 500GB 3green Speed 2;1937204264;3;VENDEDOR B
910142;EMPRESA 46;29/12/2021;;03/01/2022;03/01/2022;48900;Projeto em andamento;NV - 0017115;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy A03s 64GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB ...;3695304325;60;VENDEDOR B
922199;EMPRESA 47;24/01/2022;;;25/01/2022;626,99;Congelada;NV - 0018263;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Micro Ondas Panasonic NN-ST55LMRUN 27L Prata;3032359051;1;VENDEDOR E
941691;EMPRESA 48;16/03/2022;;;21/03/2022;17700;Congelada;NV - 0020546;Uso e consumo;;ALIMENTOS;;Cotação;;Faturado;ovos de páscoa;0;;VENDEDOR E
854742;EMPRESA 49;17/08/2021;;30/08/2021;30/08/2021;10788;Congelada;NV - 0011895;;;MALAS, MOCHILAS E ACESSÓRIOS;;Cotação;;;MOCHILA SPECTOR BUSINESS II AZUL;1194075691;120;VENDEDOR B
841302;EMPRESA 50;12/07/2021;;;20/07/2021;1020;Congelada;NV - 0010977;;;AUDIO;;Cotação;;Boleto;Produto: 3147420624 | Espuma Lapela Microfone Headset;;20;VENDEDOR A
811550;EMPRESA 51;20/04/2021;;;22/10/2021;23112,9;Congelada;NV - 0009516;;;TELEFONIA;;Cotação;;;5 itens - pit 1611318018;;;VENDEDOR C
922205;EMPRESA 52;24/01/2022;;;31/01/2022;2995;Congelada;NV - 0018268;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto;4342102701;5;VENDEDOR E
847045;EMPRESA 53;26/07/2021;;;09/08/2021;13380;Congelada;NV - 0011304;;;TELEFONIA;;Cotação;;Boleto;Produto: 2891924708 | Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho;;20;VENDEDOR B
847045;EMPRESA 53;26/07/2021;;;09/08/2021;19980;Congelada;NV - 0011305;;;TELEFONIA;;Cotação;;Boleto;Produto: 1966162104 | Smartphone Motorola Moto E7 Plus 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 8MP - Azul Navy;;20;VENDEDOR B
841313;EMPRESA 54;12/07/2021;;26/07/2021;17/08/2021;13299,95;Projeto em andamento;NV - 0010978;;;ELETRODOMESTICOS;;Cotação;;Boleto;Cód.3144925707 | Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex Painel Eletrônico Externo Branca - 110v;3144925707;6;VENDEDOR B
953070;EMPRESA 55;11/04/2022;;;12/04/2022;80270;Congelada;NV - 0021543;;;AUDIO;;Cotação;;;;0;;VENDEDOR B
922204;EMPRESA 56;24/01/2022;;;31/01/2022;7261,56;Congelada;NV - 0018267;Uso e consumo;;PCS;;Cotação;;Faturado;Notebook Dell Inspiron I13-7391-A30S 10ª Intel Core I7 8GB (Geforce MX250 com 2GB) 512GB SSD W10 13,3'' Prata;1237560954;1;VENDEDOR E
847042;EMPRESA 57;26/07/2021;;;10/08/2021;499990;Congelada;NV - 0011303;;;CONSOLES & GAMES;;Cotação;;Boleto;Produto: 3096034909 | Controle sem Fio Xbox + Cabo USB;;1000;VENDEDOR B
847042;EMPRESA 57;26/07/2021;;;10/08/2021;16999;Congelada;NV - 0011314;;;CONSOLES & GAMES;;Cotação;;Boleto;Produto: 133884111 | Liquidificador Philco PLQ1412P 3L 12 velocidades + Pulsar/Autolimpeza Preto - 1200W;;100;VENDEDOR B
847042;EMPRESA 57;26/07/2021;;;10/08/2021;16999;Congelada;NV - 0011315;;;CONSOLES & GAMES;;Cotação;;Boleto;Produto: 133884111 | Liquidificador Philco PLQ1412P 3L 12 velocidades + Pulsar/Autolimpeza Preto - 1200W;;100;VENDEDOR B
847057;EMPRESA 27;26/07/2021;;;17/08/2021;9999,8;Congelada;NV - 0011306;;;ELETROPORTÁTEIS;;Cotação;;Cartão de Crédito;Produto: 2026697467 | Cafeteira Expresso Nescafé Dolce Gusto Genio S Plus DGS2 Arno Preto - 15 Bar;2026697467;20;VENDEDOR B
847057;EMPRESA 27;26/07/2021;;;17/08/2021;21499,5;Congelada;NV - 0011307;;;ELETROPORTÁTEIS;;Cotação;;Cartão de Crédito;Produto: 2026697635 | Nescafé Dolce Gusto Genio S Basic Branca - Dgs1;2026697635;50;VENDEDOR B
847057;EMPRESA 27;26/07/2021;;;17/08/2021;11399,7;Congelada;NV - 0011308;;;ELETROPORTÁTEIS;;Cotação;;Cartão de Crédito;Produto: 1613754180 | Cafeteira Expresso Lov Vermelha Tres - 3 Corações;1613754180;30;VENDEDOR B
847048;EMPRESA 58;26/07/2021;;;10/08/2021;22957,95;Congelada;NV - 0011311;;;CINE & FOTO;;Cotação;;Boleto;Produto: 13207439 | Nikon D5600 Corpo - 24mp;;5;VENDEDOR B
847048;EMPRESA 58;26/07/2021;;;10/08/2021;25995;Congelada;NV - 0011312;;;CINE & FOTO;;Cotação;;Boleto;Produto: 1432475851 | Câmera Canon eos Rebel SL3 4k com Lente 18-55mm is stm;;5;VENDEDOR B
847048;EMPRESA 58;26/07/2021;;;10/08/2021;29999,95;Congelada;NV - 0011313;;;CINE & FOTO;;Cotação;;Boleto;Produto: 13207439 | Câmera Sony Alpha A6000 Mirrorless Com Lente 16-50mm F/3.5-5.6 Oss;;5;VENDEDOR B
910199;EMPRESA 59;29/12/2021;;;03/01/2022;10200;Congelada;NV - 0017121;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Boleto;Samsung Smart TV LED 43'' Full HD LH43BETMLGGXZD com Wi-Fi, 2 HDMI, 1 ...;2652662991;5;VENDEDOR B
880420;EMPRESA 60;01/11/2021;;01/11/2021;01/11/2021;34000;Projeto em andamento;NV - 0014385;Revenda;;PC GAMER;;Cotação;;Boleto;20 und | Console Nintendo Switch 32GB - Azul e Vermelho;1951732670;20;VENDEDOR D
880420;EMPRESA 60;01/11/2021;;01/11/2021;01/11/2021;15500;Projeto em andamento;NV - 0014386;Revenda;;PC GAMER;;Cotação;;Boleto;50 und | Controle Dualsense PlayStation®5 - PS5;1838060841;50;VENDEDOR D
880420;EMPRESA 60;01/11/2021;;01/11/2021;01/11/2021;24400;Projeto em andamento;NV - 0014387;Revenda;;PC GAMER;;Cotação;;Boleto;20 und | Console Nintendo Switch Lite Turquesa;3884217693;20;VENDEDOR D
880420;EMPRESA 60;01/11/2021;;01/11/2021;01/11/2021;24400;Projeto em andamento;NV - 0014388;Revenda;;PC GAMER;;Cotação;;Boleto;20 und | Console Nintendo Switch Lite - Coral;3840132090;20;VENDEDOR D
910229;EMPRESA 61;29/12/2021;;;05/01/2022;15959,3;Congelada;NV - 0017122;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;SSD Kingston A400 240GB - 500mb/s para Leitura e 350mb/s para Gravação..;133764426;70;VENDEDOR B
865853;EMPRESA 62;24/09/2021;;;22/10/2021;25649,7;Congelada;NV - 0013058;Uso e consumo;;ELETRODOMESTICOS;;;;Cartão de Crédito;Fogão de Piso Brastemp 4 Bocas BFO4N Branco - Bivolt;120277047;30;VENDEDOR B
956795;EMPRESA 63;22/04/2022;;;29/04/2022;6500;Congelada;NV - 0021999;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;;0;;VENDEDOR F
964511;EMPRESA 30;06/06/2022;;;09/06/2022;67410;Fechada e Perdida;NV - 0023722;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;;galaxy a32;0;50;VENDEDOR F
874056;EMPRESA 19;19/10/2021;;;03/11/2021;12499,95;Congelada;NV - 0013789;Revenda;;ELETRONICOS (TVs);;Cotação;;;"Smart TV Led 50"" Semp SK8300 4K HDR Android Wi-Fi 3 HDMI 2 USB Controle Remoto com atalhos Chromecast Integrado";1843430893;5;VENDEDOR D
874056;EMPRESA 19;19/10/2021;;;03/11/2021;22799,88;Congelada;NV - 0013753;Revenda;;ELETRONICOS (TVs);;Cotação;;;"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant";134544951;12;VENDEDOR D
841297;EMPRESA 64;12/07/2021;;;20/07/2021;87083,4;Congelada;NV - 0010974;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Cód.2534443893 | MacBook Pro Apple 13"" (16GB 1TB Mac OS X) Cinza Espacial";;5;VENDEDOR D
862601;EMPRESA 65;16/09/2021;;;01/10/2021;101999;Congelada;NV - 0012849;Uso e consumo;;TABLETS;;Cotação;;;Tablet Samsung Galaxy A7 Lite Wifi, 32gb, 3gb Ram Sm-t220nzapzto;3420573041;100;VENDEDOR D
874491;EMPRESA 66;20/10/2021;;15/10/2021;20/10/2021;3107,97;Projeto em andamento;NV - 0013808;Revenda;;TELEFONIA;;Cotação;;Cartão de Crédito;"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";3383642675;1;VENDEDOR A
874491;EMPRESA 66;20/10/2021;;15/10/2021;20/10/2021;4540,05;Projeto em andamento;NV - 0013809;Revenda;;TELEFONIA;;Cotação;;Cartão de Crédito;Smartphone Motorola Edge+ 256GB 5G Wi-Fi Tela 6.7'' 12GB RAM Câmera Tripla + Selfie 25MP - Thunder Grey;1778939721;1;VENDEDOR A
